compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
23031-36-9,0,2.477695302,7.886630695,7.398514056,8.273575319,0,0,0,0,0,0,0,0,0,0.008245922,0.048715029,0.129322346,0.139430704,0.119058853,0.008245922,0.008245922,0.008245922,0.008245922,0.008245922,0.008245922,0.008245922,0.008245922,0.008245922
23103-98-2,3.775043639,4.141575183,4.084847559,2.85858969,4.447684704,0,0,0,0,0,0,0,0,0,0.648134591,0.58909209,0.612182723,0.168951898,0.412216496,1.25E-09,1.25E-09,1.25E-09,1.25E-09,1.25E-09,1.25E-09,1.25E-09,1.25E-09,1.25E-09
23135-22-0,0,4.9259821,5.125517192,4.528042092,3.387244068,0,2.579990436,0,0,3.039925453,0,0,0,0,0.000419951,0.242095925,0.199805261,0.319811619,0.328432655,0.000419951,0.167670849,0.000419951,0.000419951,0.263821375,0.000419951,0.000419951,0.000419951,0.000419951
23184-66-9,5.266060297,0,5.493947002,6.04678897,5.908486272,0,0,4.681033645,0,4.794976997,0,0,0,0,0.698867503,1.15E-20,0.691450997,0.340254374,0.444894829,1.15E-20,1.15E-20,0.338341035,1.15E-20,0.42424231,1.15E-20,1.15E-20,1.15E-20,1.15E-20
23422-53-9,0,4.350449103,4.57863803,4.767694267,3.097258641,0,3.438019089,0,0,0,0,0,0,0,1.48E-07,0.497691305,0.417322278,0.335337275,0.235998471,1.48E-07,0.385166773,1.48E-07,1.48E-07,1.48E-07,1.48E-07,1.48E-07,1.48E-07,1.48E-07
23564-05-8,7.552246034,1.867999286,4.534517267,4.413943336,2.3515323,4.83381355,2.477612415,0,3.534517267,3.004548229,0,0,0,0,0.023774972,0.120612142,0.211371961,0.216743581,0.15883096,0.19454569,0.168507248,0.020227879,0.225243509,0.203888316,0.020227879,0.020227879,0.020227879,0.020227879
23950-58-5,3.806402154,1.107432149,4.408462145,4.38315628,0,0,0,0,0,0,0,0,0,0,0.246654716,0.085413816,0.208887664,0.210975036,0.023526516,0.023526516,0.023526516,0.023526516,0.023526516,0.023526516,0.023526516,0.023526516,0.023526516,0.023526516
24017-47-8,0,0,0,5.180004604,6.939672449,0,0,0,0,3.43151696,0,0,0,0,0.002886795,0.002886795,0.002886795,0.227436159,0.137801006,0.002886795,0.002886795,0.002886795,0.002886795,0.13809409,0.002886795,0.002886795,0.002886795,0.002886795
24307-26-4,0,1.508596756,3.041575828,3.192843504,0,0,0,0,0,0,0,0,0,0,0.009237755,0.220780971,0.378907081,0.345113883,0.009237755,0.009237755,0.009237755,0.009237755,0.009237755,0.009237755,0.009237755,0.009237755,0.009237755,0.009237755
24579-73-5,0,1.909181476,3.331714563,3.387873418,0,0,0,0,0,0,0,0,0,0,0.001316566,0.244608055,0.410702682,0.395123798,0.001316566,0.001316566,0.001316566,0.001316566,0.001316566,0.001316566,0.001316566,0.001316566,0.001316566,0.001316566
24934-91-6,0,1.671534573,6.768444586,4.68926334,0,0,0,0,0,0,0,0,0,0,0.036221831,0.08918752,0.100698353,0.154510032,0.036221831,0.036221831,0.036221831,0.036221831,0.036221831,0.036221831,0.036221831,0.036221831,0.036221831,0.036221831
25057-89-0,0,1.380711116,3.258495238,3.380711116,3.58622307,3.754370749,0,4.079681121,0,3.482534633,4.721245495,0,0,0,0.000636716,0.040175711,0.407002819,0.414407677,0.411829674,0.395994266,0.000636716,0.336435514,0.000636716,0.415502745,0.174208021,0.000636716,0.000636716,0.000636716
25154-52-3,0,0,6.157094117,6.125349121,5.574778184,0,0,5.523625661,0,5.878340516,0,0,0,0,8.12E-85,8.12E-85,0.792094336,0.878946882,0.869278264,8.12E-85,8.12E-85,0.729481621,8.12E-85,1.337260689,8.12E-85,8.12E-85,8.12E-85,8.12E-85
25155-30-0,0,2.381689999,3.928331062,5.288640406,3.472557003,0,0,4.29253545,0,4.679528984,0,0,0,0,0.000152852,0.1083312,0.393430159,0.176721579,0.343124162,0.000152852,0.000152852,0.379220928,0.000152852,0.316335656,0.000152852,0.000152852,0.000152852,0.000152852
25168-15-4,0,0,0,4.335043645,0,3.714846332,2.251625346,0,0,0,0,0,0,0,0.002158877,0.002158877,0.002158877,0.26152584,0.002158877,0.360280543,0.202499408,0.002158877,0.002158877,0.002158877,0.002158877,0.002158877,0.002158877,0.002158877
25168-26-7,0,2.701261842,5.142564129,4.18035269,0,0,0,0,0,0,0,0,0,0,0.001600885,0.18445188,0.211973051,0.321244231,0.001600885,0.001600885,0.001600885,0.001600885,0.001600885,0.001600885,0.001600885,0.001600885,0.001600885,0.001600885
25311-71-1,0,4.033163176,7.640686063,5.283040649,3.925529298,0,0,0,0,4.464961452,0,0,0,0,0.001100879,0.207052775,0.063780234,0.257664503,0.196973472,0.001100879,0.001100879,0.001100879,0.001100879,0.240722307,0.001100879,0.001100879,0.001100879,0.001100879
25606-41-1,0,2.050631249,3.648369867,3.351661245,0,0,0,0,0,0,0,0,0,0,0.000861237,0.245957614,0.356184412,0.434381832,0.000861237,0.000861237,0.000861237,0.000861237,0.000861237,0.000861237,0.000861237,0.000861237,0.000861237,0.000861237
25637-99-4,3.975461047,0,4.693387469,4.920840096,2.944603293,0,0,2.765938136,0,3.192433605,0,0,0,0,0.420313637,0.000109082,0.255989927,0.192720545,0.295881491,0.000109082,0.000109082,0.24510531,0.000109082,0.360966671,0.000109082,0.000109082,0.000109082,0.000109082
25812-30-0,0,0,4.381491704,4.187404502,0,3.510345549,0,0,0,3.249706529,3.650337016,0,0,0,9.49E-15,9.49E-15,0.392166929,0.598509533,9.49E-15,0.702377052,9.49E-15,9.49E-15,9.49E-15,0.433242454,0.80349566,9.49E-15,9.49E-15,9.49E-15
25954-13-6,0,1.531746309,3.097177405,3.230716313,0,0,0,0,0,0,0,0,0,0,0.009028376,0.21753361,0.371690466,0.342631271,0.009028376,0.009028376,0.009028376,0.009028376,0.009028376,0.009028376,0.009028376,0.009028376,0.009028376,0.009028376
26002-80-2,0,2.144960522,8.545025284,8.398506208,7.398506208,0,0,0,0,1.199260513,0,0,0,0,0.033581557,0.07114703,0.078351993,0.081038015,0.097517251,0.033581557,0.033581557,0.033581557,0.033581557,0.053420445,0.033581557,0.033581557,0.033581557,0.033581557
26087-47-8,4.660083419,0,4.695730117,3.110725891,4.45990625,0,0,4.546092397,0,5.797148418,0,0,0,0,0.461576326,3.58E-07,0.458604025,0.114638361,0.463475289,3.58E-07,3.58E-07,0.465764914,3.58E-07,0.159978652,3.58E-07,3.58E-07,3.58E-07,3.58E-07
26155-31-7,3.966282395,0,3.966282395,3.966282395,3.966282395,0,0,3.966282395,0,0,0,0,0,0,5.39E+14,0,5.39E+14,5.39E+14,5.39E+14,0,0,5.39E+14,0,0,0,0,0,0
26172-55-4,0,3.473762729,5.751128806,5.990889145,0,0,0,0,0,0,0,0,0,0,0.000366261,0.148170357,0.254818462,0.230737621,0.000366261,0.000366261,0.000366261,0.000366261,0.000366261,0.000366261,0.000366261,0.000366261,0.000366261,0.000366261
26225-79-6,0,1.740882014,4.732609488,5.058945349,2.713924687,0,0,0,0,0,0,0,0,0,0.020753547,0.130413846,0.19094491,0.160962717,0.21702818,0.020753547,0.020753547,0.020753547,0.020753547,0.020753547,0.020753547,0.020753547,0.020753547,0.020753547
26264-06-2,5.00654788,0,4.236996801,5.391898761,4.236996801,0,0,4.72511344,0,0,0,0,0,0,0.676631887,3.62E-20,0.50085608,0.323054166,0.50085608,3.62E-20,3.62E-20,0.797767963,3.62E-20,3.62E-20,3.62E-20,3.62E-20,3.62E-20,3.62E-20
26530-20-1,0,2.329066591,5.666308759,6.264608602,0,0,2.448252998,0,0,0,0,0,0,0,0.025535148,0.12925239,0.14843161,0.115909866,0.025535148,0.025535148,0.135779676,0.025535148,0.025535148,0.025535148,0.025535148,0.025535148,0.025535148,0.025535148
26761-40-0,0,0,7.235081492,5.85766315,5.667783607,0,0,0,0,0,0,0,0,0,1.15E-12,1.15E-12,0.241436381,0.419042835,0.368927104,1.15E-12,1.15E-12,1.15E-12,1.15E-12,1.15E-12,1.15E-12,1.15E-12,1.15E-12,1.15E-12
27176-87-0,0,0,4.881306273,4.929387895,4.815444542,5.542171751,0,0,0,4.666531814,0,0,0,0,5.65E-48,5.65E-48,1.147880852,1.178319603,1.07135339,0.275005505,5.65E-48,5.65E-48,5.65E-48,0.795861271,5.65E-48,5.65E-48,5.65E-48,5.65E-48
