compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
117718-60-2,0,0,6.255683026,5.598105707,0,0,0,0,0,0,0,0,0,8.55539366,6.803060798,1.55277327,1.74E-05,1.74E-05,0.241444676,0.190125559,1.74E-05,1.74E-05,1.74E-05,1.74E-05,1.74E-05,1.74E-05,1.74E-05,1.74E-05
120068-37-3,7.640650352,0,8.494522316,8.339620356,8.599257666,10.64065035,0,0,0,4.640650352,6.339620356,0,0,7.318431057,7.751675351,1.766128789,0.22543927,1.48E-05,0.206762625,0.213709021,0.201314843,0.059273365,1.48E-05,1.48E-05,1.48E-05,0.047875143,0.164089291,1.48E-05
120116-88-3,0,0,6.920578155,6.258789731,0,0,0,0,0,0,6.432461516,0,0,0,6.537276467,0.343118944,1.74E-79,1.74E-79,0.622987972,0.836411413,1.74E-79,1.74E-79,1.74E-79,1.74E-79,1.74E-79,1.74E-79,1.109690867,1.74E-79
120928-09-8,0,2.507205215,8.594203513,8.19183189,7.456914338,0,0,0,0,0,0,0,0,0,6.687538739,2.826387307,0.008589864,0.047277812,0.11242414,0.122508705,0.13601536,0.008589864,0.008589864,0.008589864,0.008589864,0.008589864,0.008589864,0.008589864
121552-61-2,0,0,6.507663152,5.000013108,0,0,0,0,0,0,0,6.7507012,0,0,6.08612582,0.948418415,4.81E-10,4.81E-10,0.381077349,0.21834014,4.81E-10,4.81E-10,4.81E-10,4.81E-10,4.81E-10,4.81E-10,4.81E-10,0.329070584
122008-85-9,0,0,6.775015449,6.106008668,4.553166699,0,0,0,0,0,0,0,0,0,5.811396939,1.13984649,7.94E-07,7.94E-07,0.244833476,0.338498878,0.190313057,7.94E-07,7.94E-07,7.94E-07,7.94E-07,7.94E-07,7.94E-07,7.94E-07
122453-73-0,0,5.434160923,7.723761457,7.727158823,0,0,0,7.698030125,0,0,0,0,0,0,7.145777832,1.141152045,1.07E-09,0.113513814,0.307511256,0.30704655,1.07E-09,1.07E-09,1.07E-09,0.310964302,1.07E-09,1.07E-09,1.07E-09,1.07E-09
124495-18-7,0,0,6.81665022,9.488748078,6.089074357,0,0,0,0,0,0,0,0,0,7.464824218,1.7901236,3.73E-05,3.73E-05,0.20871713,0.117612757,0.165872403,3.73E-05,3.73E-05,3.73E-05,3.73E-05,3.73E-05,3.73E-05,3.73E-05
125225-28-7,0,3.534114701,8.386843952,8.523564519,0,0,0,0,0,0,0,0,0,0,6.814841058,2.842014637,0.007919778,0.072097734,0.12046115,0.117162375,0.007919778,0.007919778,0.007919778,0.007919778,0.007919778,0.007919778,0.007919778,0.007919778
125401-92-5,6.440201323,0,3.592489668,4.670094526,0,0,0,0,0,0,0,0,0,7.633882353,5.584166968,1.801521105,0.19780677,0.001815079,0.120188521,0.19470069,0.001815079,0.001815079,0.001815079,0.001815079,0.001815079,0.001815079,0.001815079,0.001815079
