compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
109-73-9,0,0,2.86,2.21,0,0,0,0,0,0,3.04,0,0,-0.9,0.13,0.13,0.18,0.21,0.13,0.13,0.13,0.13,0.13,0.13,0.17,0.13,0.13,0.07
109-89-7,0,0,2.98,0,0,0,0,0,0,0,3.56,0,0,-1.33,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.08
110-12-3,0,0,2.31,0.58,0,0,0,0,0,0,2.09,0,0,0,0.09,0.09,0.33,0.22,0.09,0.09,0.09,0.09,0.09,0.09,0.38,0.09,0.09,0.09
110-16-7,0,0,2.56,0,0,0,0,0,0,0,2.97,0,0,-2.04,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.07
110-17-8,0,0,2.74,0,0,0,0,0,0,0,1.99,0,0,0.85,0.06,0.06,0.27,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.42,0.06,0.06,0.24
110-58-7,0,0,3.19,0,0,0,0,0,0,0,3.94,0,0,-0.76,0.11,0.11,0.14,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.08
110-82-7,0,0,4.35,1.53,2.17,0,0,2.52,0,0,3.42,0,0,0,0.01,0.01,0.13,0.19,0.31,0.01,0.01,0.35,0.01,0.01,0.31,0.01,0.01,0.01
110-83-8,0,0,4.19,4.26,0,0,0,0,0,0,2.87,0,0,-0.7,0.09,0.09,0.14,0.14,0.09,0.09,0.09,0.09,0.09,0.09,0.17,0.09,0.09,0.06
110-86-1,0,0,2.2,0,0,1.9,0,0,0,0,2.86,0,0,-0.3,0.14,0.14,0.27,0.14,0.14,0.29,0.14,0.14,0.14,0.14,0.2,0.14,0.14,0.1
110-91-8,0,0,2.94,1.04,0,0,0,0,0,0,3.49,0,0,-0.64,0.14,0.14,0.17,0.2,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.1
111-27-3,0,0,2.71,3.02,0,0,0,0,0,0,8.66,0,0,3.07,0.04,0.04,0.12,0.12,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.13
111-30-8,0,0,5.13,0,0,0,0,5.13,0,0,5.51,0,0,0,1.39E-122,1.39E-122,1.52,1.39E-122,1.39E-122,1.39E-122,1.39E-122,1.52,1.39E-122,1.39E-122,0.92,1.39E-122,1.39E-122,1.39E-122
111-42-2,0,0,3.16,1.66,0,0,0,0,0,0,4.7,0,0,3.34,0.01,0.01,0.32,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0.32
111-65-9,0,0,5.48,0,0,0,0,5.98,0,0,8.06,0,0,2.06,0.02,0.02,0.16,0.02,0.02,0.02,0.02,0.16,0.02,0.02,0.09,0.02,0.02,0.07
