compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
112225-87-3,0,0,5.347979961,0,5.434126289,0,0,0,0,2.795137993,0,0,0,0,4.525748081,1.49937112,0.002796332,0.002796332,0.22892815,0.002796332,0.221461829,0.002796332,0.002796332,0.002796332,0.002796332,0.136681649,0.002796332,0.002796332
112226-61-6,0,2.167400443,4.975514917,4.58508451,5.343491703,0,0,0,0,0,0,0,0,0,4.267872893,1.434145597,0.003320977,0.095173125,0.246291008,0.271452197,0.209975835,0.003320977,0.003320977,0.003320977,0.003320977,0.003320977,0.003320977,0.003320977
112281-77-3,0,3.774836839,4.424588821,4.978540099,3.075588975,0,0,0,0,0,0,0,0,0,4.063388683,0.821985013,2.40E-06,0.456338278,0.440672969,0.261146965,0.235751601,2.40E-06,2.40E-06,2.40E-06,2.40E-06,2.40E-06,2.40E-06,2.40E-06
112410-23-8,0,2.214690352,4.547128812,4.816346536,5.583340985,2.683805952,0,0,0,2.95975464,0,0,0,0,3.800844546,1.359159345,0.005881642,0.148560574,0.252448466,0.222033986,0.12421002,0.209395226,0.005881642,0.005881642,0.005881642,0.242372179,0.005881642,0.005881642
113136-77-9,0,3.938226706,4.738943784,4.396521104,0,0,0,0,0,0,0,0,0,0,4.357897198,0.401753425,2.80E-26,0.575443972,0.633301373,0.988424445,2.80E-26,2.80E-26,2.80E-26,2.80E-26,2.80E-26,2.80E-26,2.80E-26,2.80E-26
114311-32-9,0,2.194791758,3.510314676,3.398466538,2.043602695,0,0,0,0,0,0,0,0,0,2.786793917,0.774688203,0.000797551,0.38456966,0.332945641,0.377057956,0.32503813,0.000797551,0.000797551,0.000797551,0.000797551,0.000797551,0.000797551,0.000797551
114369-43-6,0,2.175219351,5.725998159,5.35131061,3.645105068,0,0,0,0,0,0,0,0,0,4.224408297,1.639049369,0.00878747,0.11140393,0.159980032,0.192163921,0.228661083,0.00878747,0.00878747,0.00878747,0.00878747,0.00878747,0.00878747,0.00878747
116255-48-2,0,2.243995038,5.275403503,5.345984577,0,0,0,0,0,0,0,0,0,0,4.288461039,1.770911162,0.012003742,0.115690744,0.19287197,0.188485375,0.012003742,0.012003742,0.012003742,0.012003742,0.012003742,0.012003742,0.012003742,0.012003742
116714-46-6,0,2.39157901,9.613427759,5.70138293,4.981899439,0,0,0,0,0,0,0,0,0,5.672072284,2.987368785,0.022019345,0.073075165,0.055929646,0.133536603,0.130026235,0.022019345,0.022019345,0.022019345,0.022019345,0.022019345,0.022019345,0.022019345
117337-19-6,0,2.254062517,6.159087004,6.97277658,0,0,0,0,0,0,0,0,0,0,5.128642034,2.522484535,0.020018974,0.082619699,0.145493972,0.121065827,0.020018974,0.020018974,0.020018974,0.020018974,0.020018974,0.020018974,0.020018974,0.020018974
117428-22-5,6.991592754,0,0,6.630546124,3.148404068,0,0,0,0,5.283996656,0,0,0,0,5.513634901,1.739626465,0.159852308,0.001510565,0.001510565,0.186613217,0.09100033,0.001510565,0.001510565,0.001510565,0.001510565,0.227337059,0.001510565,0.001510565
117718-60-2,0,2.316390737,5.297075712,5.06662679,0,0,0,0,0,0,0,0,0,0,4.226697746,1.658382142,0.00934714,0.123906331,0.195328162,0.211603827,0.00934714,0.00934714,0.00934714,0.00934714,0.00934714,0.00934714,0.00934714,0.00934714
119168-77-3,0,2.222534523,7.141547477,7.273144517,8.093812239,0,0,0,0,0,0,0,0,0,6.182759689,2.673556826,0.010292762,0.04981647,0.139924541,0.137309852,0.115577242,0.010292762,0.010292762,0.010292762,0.010292762,0.010292762,0.010292762,0.010292762
